Time	Channel A	Channel B
(ms)	(V)	(V)

134.45165806	0.07874016	0.00000000
134.45567406	0.07874016	0.00000000
134.45969006	0.07874016	0.00000000
134.46370606	0.07874016	0.00000000
134.46772206	0.07874016	0.00000000
134.47173806	0.07874016	0.00000000
134.47575406	0.07874016	0.00000000
134.47977006	0.07874016	0.00000000
134.48378606	0.07874016	0.00000000
134.48780206	0.07874016	0.00000000
134.49181806	0.07874016	0.00000000
134.49583406	0.07874016	0.00000000
134.49985006	0.07874016	0.00000000
134.50386606	0.07874016	0.00000000
134.50788206	0.07874016	0.00000000
134.51189806	0.07874016	-0.01574803
134.51591406	0.07874016	-0.01574803
134.51993005	0.07874016	0.00000000
134.52394605	0.07874016	0.00000000
134.52796205	0.07874016	0.00000000
134.53197805	0.07874016	0.00000000
134.53599405	0.15748030	0.00000000
134.54001005	0.07874016	0.00000000
134.54402605	0.07874016	0.00000000
134.54804205	0.07874016	-0.01574803
134.55205805	0.07874016	0.00000000
134.55607405	0.07874016	-0.01574803
134.56009005	0.07874016	0.00000000
134.56410605	0.07874016	0.00000000
134.56812205	0.07874016	0.00000000
134.57213805	0.07874016	0.00000000
134.57615405	0.07874016	0.00000000
134.58017005	0.07874016	0.00000000
134.58418605	0.07874016	0.00000000
134.58820205	0.15748030	0.00000000
134.59221805	0.07874016	0.00000000
134.59623405	0.07874016	0.00000000
134.60025005	0.07874016	0.00000000
134.60426605	0.07874016	0.00000000
134.60828205	0.07874016	0.00000000
134.61229805	0.15748030	0.00000000
134.61631405	0.07874016	0.00000000
134.62033005	0.15748030	-0.01574803
134.62434605	0.07874016	0.00000000
134.62836205	0.07874016	0.00000000
134.63237805	0.07874016	0.00000000
134.63639405	0.07874016	0.00000000
134.64041005	0.15748030	-0.01574803
134.64442605	0.07874016	0.00000000
134.64844205	0.07874016	0.00000000
134.65245805	0.07874016	0.00000000
134.65647405	0.07874016	0.00000000
134.66049005	0.07874016	0.00000000
134.66450605	0.07874016	0.00000000
134.66852205	0.07874016	0.00000000
134.67253805	0.07874016	0.00000000
134.67655405	0.07874016	0.00000000
134.68057005	0.07874016	0.00000000
134.68458605	0.07874016	0.00000000
134.68860205	0.07874016	0.00000000
134.69261805	0.07874016	0.00000000
134.69663405	0.07874016	-0.01574803
134.70065005	0.07874016	0.00000000
134.70466605	0.07874016	0.00000000
134.70868205	0.07874016	0.00000000
134.71269805	0.07874016	0.00000000
134.71671405	0.07874016	0.00000000
134.72073005	0.07874016	-0.01574803
134.72474605	0.07874016	0.00000000
134.72876205	0.07874016	-0.01574803
134.73277805	0.07874016	-0.01574803
134.73679405	0.07874016	0.00000000
134.74081005	0.07874016	-0.01574803
134.74482604	0.07874016	0.00000000
134.74884204	0.07874016	-0.01574803
134.75285804	0.07874016	0.00000000
134.75687404	0.07874016	0.00000000
